Date,Open,High,Low,Close,Volume
"gen 14, 2020","72,94","72,95","72,01","72,47",1.940.956
"gen 15, 2020","71,60","72,12","71,45","71,60",1.085.909
"gen 16, 2020","72,23","72,72","72,20","72,62",1.159.282
"gen 17, 2020","72,72","72,72","72,16","72,48",780.525
"gen 21, 2020","72,50","72,50","72,11","72,13",967.15
"gen 22, 2020","72,57","72,68","72,17","72,38",760.872
"gen 23, 2020","72,75","72,75","72,02","72,59",579.703
"gen 24, 2020","72,64","72,68","71,48","71,88",678.359
"gen 27, 2020","71,44","71,70","71,15","71,31",1.267.349
"gen 28, 2020","71,70","72,21","71,35","72,02",812.619
"gen 29, 2020","71,90","72,02","71,65","71,80",614.493
"gen 30, 2020","70,63","71,31","70,21","71,14",870.947
"gen 31, 2020","70,99","70,99","69,91","70,18",957.458
"feb 3, 2020","70,29","70,90","70,25","70,48",1.814.832
"feb 4, 2020","72,17","73,86","71,16","73,00",1.578.731
"feb 5, 2020","70,66","71,06","70,35","70,51",1.799.445
"feb 6, 2020","70,97","71,55","70,97","71,55",662.669
"feb 7, 2020","71,00","71,25","69,71","70,09",1.462.400
"feb 10, 2020","70,13","70,21","69,63","70,17",929.324
"feb 11, 2020","70,63","70,85","70,19","70,32",852.03
"feb 12, 2020","70,30","70,79","70,30","70,77",587.881
"feb 13, 2020","69,92","69,92","69,51","69,60",910.364
"feb 14, 2020","69,48","69,53","68,46","68,83",1.485.176
"feb 18, 2020","66,42","67,09","66,10","66,64",2.347.488
"feb 19, 2020","66,96","67,37","66,87","67,07",1.234.872
"feb 20, 2020","66,91","67,17","66,03","66,74",1.326.113
"feb 21, 2020","66,95","67,00","65,75","65,94",907.049
"feb 24, 2020","64,00","64,58","63,51","63,93",1.414.186
"feb 25, 2020","65,25","65,50","63,13","63,58",2.226.410
"feb 26, 2020","64,36","64,83","63,78","63,94",1.553.443
"feb 27, 2020","61,91","62,72","60,88","60,89",2.005.951
"feb 28, 2020","59,49","62,46","59,35","62,20",2.723.259
"mar 2, 2020","63,60","64,26","62,31","64,16",2.117.949
"mar 3, 2020","63,77","64,51","62,56","63,18",1.714.551
"mar 4, 2020","63,78","64,95","63,57","64,79",1.223.888
"mar 5, 2020","63,85","63,99","62,92","63,44",1.259.953
"mar 6, 2020","62,80","63,24","62,16","63,12",1.165.693
"mar 9, 2020","58,19","60,47","58,00","58,53",1.375.110
"mar 10, 2020","61,09","61,15","59,06","60,33",3.117.725
"mar 11, 2020","58,95","59,35","57,44","57,79",1.349.754
"mar 12, 2020","54,53","55,47","51,50","52,57",2.072.506
"mar 13, 2020","56,35","56,67","53,29","56,32",2.012.349
"mar 16, 2020","52,00","53,86","50,94","51,68",1.458.891
"mar 17, 2020","53,41","55,37","52,65","55,20",1.702.455
"mar 18, 2020","54,78","58,10","52,08","54,79",3.626.694
"mar 19, 2020","54,86","56,04","53,60","55,40",2.382.909
"mar 20, 2020","56,48","56,90","52,82","53,06",1.613.056
"mar 23, 2020","53,94","54,40","51,58","52,90",1.592.661
"mar 24, 2020","56,30","57,00","55,56","57,00",2.281.995
"mar 25, 2020","58,38","59,33","56,32","57,68",1.225.025
"mar 26, 2020","58,66","60,51","58,00","60,50",1.465.601
