Date,Open,High,Low,Close,Volume
"feb 3, 2020","36,75","37,64","36,53","37,59",23.537.344
"feb 4, 2020","37,87","38,99","37,26","38,53",32.425.930
"feb 5, 2020","38,89","38,97","36,74","36,81",38.413.313
"feb 6, 2020","37,30","37,39","36,73","37,09",52.699.343
"feb 7, 2020","39,98","41,00","38,86","40,63",112.325.800
"feb 10, 2020","40,65","41,34","39,96","40,01",60.840.787
"feb 11, 2020","40,25","41,47","40,05","41,27",33.895.964
"feb 12, 2020","41,50","41,86","41,07","41,25",26.444.893
"feb 13, 2020","40,93","41,55","40,00","40,09",23.850.949
"feb 14, 2020","40,02","40,31","38,70","39,66",32.014.221
"feb 18, 2020","39,49","40,27","39,45","40,18",22.168.471
"feb 19, 2020","40,42","41,23","40,12","41,05",23.287.326
"feb 20, 2020","41,00","41,19","39,85","40,92",25.446.394
"feb 21, 2020","40,89","40,89","40,05","40,72",20.600.617
"feb 24, 2020","38,21","39,14","37,75","38,31",37.123.158
"feb 25, 2020","38,90","39,15","35,50","35,89",49.281.558
"feb 26, 2020","35,53","36,17","33,89","34,45",44.108.921
"feb 27, 2020","32,03","34,16","30,67","32,45",66.557.245
"feb 28, 2020","31,81","34,29","31,00","33,87",52.100.204
"mar 2, 2020","34,05","34,08","31,74","32,85",46.662.023
"mar 3, 2020","34,02","34,18","31,90","33,04",35.182.366
"mar 4, 2020","33,93","35,34","32,28","34,53",44.738.640
"mar 5, 2020","33,47","33,57","31,97","32,21",32.764.549
"mar 6, 2020","31,23","32,41","30,45","31,68",34.808.733
"mar 9, 2020","28,50","30,32","28,15","28,17",37.439.161
"mar 10, 2020","29,47","29,86","27,00","28,97",36.308.321
"mar 11, 2020","27,91","28,14","25,61","26,24",43.212.769
"mar 12, 2020","23,26","24,69","22,11","22,61",54.041.976
"mar 13, 2020","24,01","24,81","21,13","22,60",53.844.417
"mar 16, 2020","20,15","21,49","19,10","20,29",56.913.952
"mar 17, 2020","20,18","20,31","18,01","18,91",60.003.887
"mar 18, 2020","17,76","17,80","13,71","14,82",78.286.212
"mar 19, 2020","15,96","21,26","15,70","20,49",83.988.721
"mar 20, 2020","22,53","23,89","20,61","21,33",76.529.684
"mar 23, 2020","21,07","22,73","19,73","22,40",47.787.094
"mar 24, 2020","24,41","26,84","23,59","26,39",58.505.016
"mar 25, 2020","26,18","28,45","25,31","26,19",52.473.945
"mar 26, 2020","26,60","28,44","25,78","28,12",41.370.842
"mar 27, 2020","25,82","28,03","25,07","27,28",40.292.212
"mar 30, 2020","26,33","28,39","25,31","27,83",37.725.659
"mar 31, 2020","27,75","28,25","26,92","27,92",43.126.370
"apr 1, 2020","26,50","26,77","24,81","25,42",38.538.381
"apr 2, 2020","25,01","25,20","23,00","23,68",35.838.237
"apr 3, 2020","23,73","23,79","21,67","22,82",40.572.024
"apr 6, 2020","24,13","26,09","23,93","25,99",34.692.625
"apr 7, 2020","27,95","28,11","25,50","25,74",36.433.762
"apr 8, 2020","26,00","27,88","25,79","26,94",36.166.872
"apr 9, 2020","27,88","28,89","26,46","27,11",36.190.207
"apr 13, 2020","27,04","28,08","26,47","27,99",24.671.570
"apr 14, 2020","28,00","28,77","27,01","27,75",32.625.332
"apr 15, 2020","26,82","27,79","26,44","27,41",18.720.881
"apr 16, 2020","27,21","28,05","26,46","27,03",24.088.739
"apr 17, 2020","28,69","28,79","27,26","28,00",34.129.827
"apr 20, 2020","27,07","28,76","26,90","28,19",32.224.037
"apr 21, 2020","27,50","28,15","26,60","27,19",20.969.116
"apr 22, 2020","27,97","28,56","27,51","28,24",21.222.358
"apr 23, 2020","28,75","29,25","28,24","28,33",26.992.375
"apr 24, 2020","28,51","29,59","28,14","29,49",20.648.859
"apr 27, 2020","29,74","30,49","29,41","30,08",31.705.827
"apr 28, 2020","31,00","31,83","29,36","30,12",27.383.197
"apr 29, 2020","31,00","32,00","30,33","31,37",28.288.120
"apr 30, 2020","30,50","31,05","29,75","30,27",20.095.396
"mag 1, 2020","29,13","29,72","28,33","28,39",19.290.192
"mag 4, 2020","27,56","28,07","26,58","27,42",23.428.333
"mag 5, 2020","28,25","28,91","27,44","28,07",30.725.371
"mag 6, 2020","27,50","28,06","26,81","27,82",31.076.451
"mag 7, 2020","29,60","31,65","29,58","30,93",62.229.496
"mag 8, 2020","32,59","33,30","31,64","32,79",69.525.793
"mag 11, 2020","31,98","32,39","31,41","31,64",26.439.191
"mag 12, 2020","31,42","34,45","30,41","32,40",89.585.967
"mag 13, 2020","32,30","33,06","30,83","33,02",47.279.487
"mag 14, 2020","32,53","33,04","31,24","32,79",32.912.581
"mag 15, 2020","32,26","32,89","31,59","32,47",25.949.971
"mag 18, 2020","33,70","36,00","32,99","33,62",47.561.742
"mag 19, 2020","33,68","34,00","32,86","33,40",20.223.567
"mag 20, 2020","34,12","34,77","33,82","34,48",21.386.703
"mag 21, 2020","34,45","35,01","33,47","34,26",24.075.308
"mag 22, 2020","34,15","34,93","33,57","34,83",18.675.675
"mag 26, 2020","35,97","36,00","34,50","34,56",23.483.218
"mag 27, 2020","34,42","35,00","33,10","34,88",27.514.553
"mag 28, 2020","34,90","35,10","33,82","34,15",21.959.579
"mag 29, 2020","34,18","36,45","34,00","36,32",72.422.927
"giu 1, 2020","35,64","36,39","35,16","35,82",21.893.806
"giu 2, 2020","36,16","36,42","35,26","35,81",19.328.415
"giu 3, 2020","36,20","37,37","36,14","36,75",23.051.776
"giu 4, 2020","36,42","37,30","36,28","36,43",17.423.577
"giu 5, 2020","37,53","38,78","36,92","37,21",30.393.429
"giu 8, 2020","37,87","37,90","36,09","37,08",30.099.525
"giu 9, 2020","36,70","37,33","36,25","36,59",15.127.269
"giu 10, 2020","36,69","36,80","34,27","34,83",43.473.719
"giu 11, 2020","32,63","33,24","30,89","31,10",45.298.714
"giu 12, 2020","32,73","32,74","31,04","32,24",27.685.169
"giu 15, 2020","31,16","32,68","31,02","32,67",21.350.290
"giu 16, 2020","34,00","34,17","32,43","33,49",21.377.119
